Electoral District,Maori,Year,Party,Percent,Ratio
Ilam,FALSE,2008,MAORI PARTY,0.53,0.726027397
Invercargill,FALSE,2008,MAORI PARTY,0.58,0.794520548
Kaikoura,FALSE,2008,MAORI PARTY,0.56,0.767123288
Mana,FALSE,2008,MAORI PARTY,1.03,1.410958904
Mangere,FALSE,2008,MAORI PARTY,0.96,1.315068493
Manukau East,FALSE,2008,MAORI PARTY,1.01,1.383561644
Manurewa,FALSE,2008,MAORI PARTY,1.26,1.726027397
Maungakiekie,FALSE,2008,MAORI PARTY,0.68,0.931506849
Mt Albert,FALSE,2008,MAORI PARTY,0.78,1.068493151
Mt Roskill,FALSE,2008,MAORI PARTY,0.48,0.657534247
Napier,FALSE,2008,MAORI PARTY,0.77,1.054794521
Nelson,FALSE,2008,MAORI PARTY,0.51,0.698630137
New Lynn,FALSE,2008,MAORI PARTY,0.7,0.95890411
New Plymouth,FALSE,2008,MAORI PARTY,0.75,1.02739726
North Shore,FALSE,2008,MAORI PARTY,0.6,0.821917808
Northcote,FALSE,2008,MAORI PARTY,0.64,0.876712329
Northland,FALSE,2008,MAORI PARTY,1.48,2.02739726
Ohariu,FALSE,2008,MAORI PARTY,0.73,1
Otaki,FALSE,2008,MAORI PARTY,0.82,1.123287671
Pakuranga,FALSE,2008,MAORI PARTY,0.3,0.410958904
Palmerston North,FALSE,2008,MAORI PARTY,0.71,0.97260274
Papakura,FALSE,2008,MAORI PARTY,0.93,1.273972603
Port Hills,FALSE,2008,MAORI PARTY,0.68,0.931506849
Rangitata,FALSE,2008,MAORI PARTY,0.31,0.424657534
Rangitikei,FALSE,2008,MAORI PARTY,0.91,1.246575342
Rimutaka,FALSE,2008,MAORI PARTY,0.73,1
Rodney,FALSE,2008,MAORI PARTY,0.48,0.657534247
Rongotai,FALSE,2008,MAORI PARTY,0.92,1.260273973
Rotorua,FALSE,2008,MAORI PARTY,1.78,2.438356164
Selwyn,FALSE,2008,MAORI PARTY,0.41,0.561643836
Tamaki,FALSE,2008,MAORI PARTY,0.52,0.712328767
Taranaki-King Country,FALSE,2008,MAORI PARTY,1.01,1.383561644
Taupo,FALSE,2008,MAORI PARTY,0.92,1.260273973
Tauranga,FALSE,2008,MAORI PARTY,0.57,0.780821918
Te Atatu,FALSE,2008,MAORI PARTY,0.83,1.136986301
Tukituki,FALSE,2008,MAORI PARTY,0.87,1.191780822
Waikato,FALSE,2008,MAORI PARTY,0.73,1
Waimakariri,FALSE,2008,MAORI PARTY,0.37,0.506849315
Wairarapa,FALSE,2008,MAORI PARTY,0.72,0.98630137
Waitakere,FALSE,2008,MAORI PARTY,0.77,1.054794521
Waitaki,FALSE,2008,MAORI PARTY,0.5,0.684931507
Wellington Central,FALSE,2008,MAORI PARTY,0.85,1.164383562
West Coast-Tasman,FALSE,2008,MAORI PARTY,0.63,0.863013699
Whanganui,FALSE,2008,MAORI PARTY,1,1.369863014
Whangarei,FALSE,2008,MAORI PARTY,0.91,1.246575342
Wigram,FALSE,2008,MAORI PARTY,0.56,0.767123288
Hauraki-Waikato,TRUE,2011,MAORI PARTY,13.06,0.836643177
Ikaroa-Rawhiti,TRUE,2011,MAORI PARTY,14.98,0.959641256
Tamaki Makaurau,TRUE,2011,MAORI PARTY,14.45,0.925688661
Te Tai Hauauru,TRUE,2011,MAORI PARTY,21.05,1.348494555
Te Tai Tokerau,TRUE,2011,MAORI PARTY,11.16,0.714926329
Te Tai Tonga,TRUE,2011,MAORI PARTY,13.49,0.864189622
Waiariki,TRUE,2011,MAORI PARTY,21.21,1.358744395
Auckland Central,FALSE,2011,MAORI PARTY,1.64,2.928571429
Bay of Plenty,FALSE,2011,MAORI PARTY,0.59,1.053571429
Botany,FALSE,2011,MAORI PARTY,0.29,0.517857143
Christchurch Central,FALSE,2011,MAORI PARTY,0.5,0.892857143
Christchurch East,FALSE,2011,MAORI PARTY,0.29,0.517857143
Clutha-Southland,FALSE,2011,MAORI PARTY,0.43,0.767857143
Coromandel,FALSE,2011,MAORI PARTY,0.44,0.785714286
Dunedin North,FALSE,2011,MAORI PARTY,0.42,0.75
Dunedin South,FALSE,2011,MAORI PARTY,0.3,0.535714286
East Coast,FALSE,2011,MAORI PARTY,1.05,1.875
East Coast Bays,FALSE,2011,MAORI PARTY,0.39,0.696428571
Epsom,FALSE,2011,MAORI PARTY,0.59,1.053571429
Hamilton East,FALSE,2011,MAORI PARTY,0.59,1.053571429
Hamilton West,FALSE,2011,MAORI PARTY,0.59,1.053571429
Helensville,FALSE,2011,MAORI PARTY,0.52,0.928571429
Hunua,FALSE,2011,MAORI PARTY,0.53,0.946428571
Hutt South,FALSE,2011,MAORI PARTY,0.6,1.071428571
Ilam,FALSE,2011,MAORI PARTY,0.5,0.892857143
Invercargill,FALSE,2011,MAORI PARTY,0.5,0.892857143
Kaikoura,FALSE,2011,MAORI PARTY,0.43,0.767857143
Mana,FALSE,2011,MAORI PARTY,0.66,1.178571429
Mangere,FALSE,2011,MAORI PARTY,0.54,0.964285714
Manukau East,FALSE,2011,MAORI PARTY,0.49,0.875
Manurewa,FALSE,2011,MAORI PARTY,0.64,1.142857143
Maungakiekie,FALSE,2011,MAORI PARTY,0.63,1.125
Mt Albert,FALSE,2011,MAORI PARTY,0.52,0.928571429
Mt Roskill,FALSE,2011,MAORI PARTY,0.38,0.678571429
Napier,FALSE,2011,MAORI PARTY,0.61,1.089285714
Nelson,FALSE,2011,MAORI PARTY,0.46,0.821428571
New Lynn,FALSE,2011,MAORI PARTY,0.44,0.785714286
New Plymouth,FALSE,2011,MAORI PARTY,0.61,1.089285714
North Shore,FALSE,2011,MAORI PARTY,0.6,1.071428571
Northcote,FALSE,2011,MAORI PARTY,0.55,0.982142857
Northland,FALSE,2011,MAORI PARTY,0.79,1.410714286
Ohariu,FALSE,2011,MAORI PARTY,0.53,0.946428571
Otaki,FALSE,2011,MAORI PARTY,0.56,1
Pakuranga,FALSE,2011,MAORI PARTY,0.33,0.589285714
Palmerston North,FALSE,2011,MAORI PARTY,0.51,0.910714286
Papakura,FALSE,2011,MAORI PARTY,0.58,1.035714286
Port Hills,FALSE,2011,MAORI PARTY,0.41,0.732142857
Rangitata,FALSE,2011,MAORI PARTY,0.34,0.607142857
Rangitikei,FALSE,2011,MAORI PARTY,0.78,1.392857143
Rimutaka,FALSE,2011,MAORI PARTY,0.55,0.982142857
Rodney,FALSE,2011,MAORI PARTY,0.36,0.642857143
Rongotai,FALSE,2011,MAORI PARTY,0.68,1.214285714
Rotorua,FALSE,2011,MAORI PARTY,1.28,2.285714286
Selwyn,FALSE,2011,MAORI PARTY,0.37,0.660714286
Tamaki,FALSE,2011,MAORI PARTY,0.51,0.910714286
Taranaki-King Country,FALSE,2011,MAORI PARTY,0.67,1.196428571
Taupo,FALSE,2011,MAORI PARTY,0.67,1.196428571
Tauranga,FALSE,2011,MAORI PARTY,0.5,0.892857143
Te Atatu,FALSE,2011,MAORI PARTY,0.63,1.125
Tukituki,FALSE,2011,MAORI PARTY,0.77,1.375
Waikato,FALSE,2011,MAORI PARTY,0.59,1.053571429
Waimakariri,FALSE,2011,MAORI PARTY,0.26,0.464285714
Wairarapa,FALSE,2011,MAORI PARTY,0.62,1.107142857
Waitakere,FALSE,2011,MAORI PARTY,0.54,0.964285714
Waitaki,FALSE,2011,MAORI PARTY,0.35,0.625
Wellington Central,FALSE,2011,MAORI PARTY,0.71,1.267857143
West Coast-Tasman,FALSE,2011,MAORI PARTY,0.43,0.767857143
Whanganui,FALSE,2011,MAORI PARTY,0.71,1.267857143
Whangarei,FALSE,2011,MAORI PARTY,0.61,1.089285714
Wigram,FALSE,2011,MAORI PARTY,0.44,0.785714286
Hauraki-Waikato,TRUE,2014,MAORI PARTY,11.97,0.851957295
Ikaroa-Rawhiti,TRUE,2014,MAORI PARTY,12.37,0.880427046
Tamaki Makaurau,TRUE,2014,MAORI PARTY,12.84,0.913879004
Te Tai Hauauru,TRUE,2014,MAORI PARTY,17.64,1.255516014
Te Tai Tokerau,TRUE,2014,MAORI PARTY,10.15,0.722419929
Te Tai Tonga,TRUE,2014,MAORI PARTY,11.25,0.800711744
Waiariki,TRUE,2014,MAORI PARTY,22.01,1.566548043
Auckland Central,FALSE,2014,MAORI PARTY,0.56,1.166666667
Bay of Plenty,FALSE,2014,MAORI PARTY,0.57,1.1875
Botany,FALSE,2014,MAORI PARTY,0.21,0.4375
Christchurch Central,FALSE,2014,MAORI PARTY,0.46,0.958333333
Christchurch East,FALSE,2014,MAORI PARTY,0.4,0.833333333
Clutha-Southland,FALSE,2014,MAORI PARTY,0.33,0.6875
Coromandel,FALSE,2014,MAORI PARTY,0.49,1.020833333
Dunedin North,FALSE,2014,MAORI PARTY,0.35,0.729166667
Dunedin South,FALSE,2014,MAORI PARTY,0.25,0.520833333
East Coast,FALSE,2014,MAORI PARTY,0.95,1.979166667
East Coast Bays,FALSE,2014,MAORI PARTY,0.38,0.791666667
Epsom,FALSE,2014,MAORI PARTY,0.46,0.958333333
Hamilton East,FALSE,2014,MAORI PARTY,0.64,1.333333333
Hamilton West,FALSE,2014,MAORI PARTY,0.56,1.166666667
Helensville,FALSE,2014,MAORI PARTY,0.54,1.125
Hunua,FALSE,2014,MAORI PARTY,0.4,0.833333333
Hutt South,FALSE,2014,MAORI PARTY,0.53,1.104166667
Ilam,FALSE,2014,MAORI PARTY,0.48,1
Invercargill,FALSE,2014,MAORI PARTY,0.32,0.666666667
Kaikoura,FALSE,2014,MAORI PARTY,0.36,0.75
Kelston,FALSE,2014,MAORI PARTY,0.31,0.645833333
Mana,FALSE,2014,MAORI PARTY,0.62,1.291666667
Mangere,FALSE,2014,MAORI PARTY,0.45,0.9375
Manukau East,FALSE,2014,MAORI PARTY,0.32,0.666666667
Manurewa,FALSE,2014,MAORI PARTY,0.69,1.4375
Maungakiekie,FALSE,2014,MAORI PARTY,0.54,1.125
Mt Albert,FALSE,2014,MAORI PARTY,0.48,1
Mt Roskill,FALSE,2014,MAORI PARTY,0.39,0.8125
Napier,FALSE,2014,MAORI PARTY,0.44,0.916666667
Nelson,FALSE,2014,MAORI PARTY,0.33,0.6875
New Lynn,FALSE,2014,MAORI PARTY,0.36,0.75
New Plymouth,FALSE,2014,MAORI PARTY,0.53,1.104166667
North Shore,FALSE,2014,MAORI PARTY,0.45,0.9375
Northcote,FALSE,2014,MAORI PARTY,0.46,0.958333333
Northland,FALSE,2014,MAORI PARTY,0.59,1.229166667
Ohariu,FALSE,2014,MAORI PARTY,0.58,1.208333333
Otaki,FALSE,2014,MAORI PARTY,0.44,0.916666667
Pakuranga,FALSE,2014,MAORI PARTY,0.31,0.645833333
Palmerston North,FALSE,2014,MAORI PARTY,0.48,1
Papakura,FALSE,2014,MAORI PARTY,0.5,1.041666667
Port Hills,FALSE,2014,MAORI PARTY,0.4,0.833333333
Rangitata,FALSE,2014,MAORI PARTY,0.26,0.541666667
Rangitikei,FALSE,2014,MAORI PARTY,0.56,1.166666667
Rimutaka,FALSE,2014,MAORI PARTY,0.4,0.833333333
Rodney,FALSE,2014,MAORI PARTY,0.36,0.75
Rongotai,FALSE,2014,MAORI PARTY,0.62,1.291666667
Rotorua,FALSE,2014,MAORI PARTY,1.43,2.979166667
Selwyn,FALSE,2014,MAORI PARTY,0.31,0.645833333
Tamaki,FALSE,2014,MAORI PARTY,0.48,1
Taranaki-King Country,FALSE,2014,MAORI PARTY,0.55,1.145833333
Taupo,FALSE,2014,MAORI PARTY,0.82,1.708333333
Tauranga,FALSE,2014,MAORI PARTY,0.6,1.25
Te Atatu,FALSE,2014,MAORI PARTY,0.43,0.895833333
Tukituki,FALSE,2014,MAORI PARTY,0.52,1.083333333
Upper Harbour,FALSE,2014,MAORI PARTY,0.36,0.75
Waikato,FALSE,2014,MAORI PARTY,0.55,1.145833333
Waimakariri,FALSE,2014,MAORI PARTY,0.26,0.541666667
Wairarapa,FALSE,2014,MAORI PARTY,0.56,1.166666667
Waitaki,FALSE,2014,MAORI PARTY,0.26,0.541666667
Wellington Central,FALSE,2014,MAORI PARTY,0.77,1.604166667
West Coast-Tasman,FALSE,2014,MAORI PARTY,0.28,0.583333333
Whanganui,FALSE,2014,MAORI PARTY,0.58,1.208333333
Whangarei,FALSE,2014,MAORI PARTY,0.53,1.104166667
Wigram,FALSE,2014,MAORI PARTY,0.47,0.979166667
