Electoral District,Maori,Year,Party,Percent,Ratio
East Coast Bays,FALSE,2002,NATIONAL PARTY,24.83,1.134826325
East Coast Bays,FALSE,2005,NATIONAL PARTY,52.27,1.265923953
East Coast Bays,FALSE,2008,NATIONAL PARTY,61.4,1.298921092
East Coast Bays,FALSE,2011,NATIONAL PARTY,62.86,1.265043268
East Coast Bays,FALSE,2014,NATIONAL PARTY,63.38,1.277307537
Epsom,FALSE,1996,NATIONAL PARTY,41.09,1.165012759
Epsom,FALSE,1999,NATIONAL PARTY,43.2,1.357636706
Epsom,FALSE,2002,NATIONAL PARTY,29.24,1.336380256
Epsom,FALSE,2005,NATIONAL PARTY,58.51,1.417050133
Epsom,FALSE,2008,NATIONAL PARTY,62.6,1.324307172
Epsom,FALSE,2011,NATIONAL PARTY,64.52,1.298450392
Epsom,FALSE,2014,NATIONAL PARTY,63.6,1.281741233
Hamilton East,FALSE,1996,NATIONAL PARTY,39.92,1.131840091
Hamilton East,FALSE,1999,NATIONAL PARTY,35.43,1.11345066
Hamilton East,FALSE,2002,NATIONAL PARTY,23.81,1.08820841
Hamilton East,FALSE,2005,NATIONAL PARTY,45.44,1.100508598
Hamilton East,FALSE,2008,NATIONAL PARTY,49.5,1.047175799
Hamilton East,FALSE,2011,NATIONAL PARTY,51.39,1.034212115
Hamilton East,FALSE,2014,NATIONAL PARTY,50.03,1.008262797
Hamilton West,FALSE,1996,NATIONAL PARTY,38.23,1.083924015
Hamilton West,FALSE,1999,NATIONAL PARTY,32.76,1.029541169
Hamilton West,FALSE,2002,NATIONAL PARTY,21,0.959780622
Hamilton West,FALSE,2005,NATIONAL PARTY,40.03,0.969484137
Hamilton West,FALSE,2008,NATIONAL PARTY,45.98,0.972709964
Hamilton West,FALSE,2011,NATIONAL PARTY,47.74,0.960756691
Hamilton West,FALSE,2014,NATIONAL PARTY,47.73,0.96191052
Hauraki,TRUE,1999,NATIONAL PARTY,5.67,0.991258741
Hauraki-Waikato,TRUE,2008,NATIONAL PARTY,7.21,0.967785235
Hauraki-Waikato,TRUE,2011,NATIONAL PARTY,8.33,0.970862471
Hauraki-Waikato,TRUE,2014,NATIONAL PARTY,7.57,0.954602774
Helensville,FALSE,2002,NATIONAL PARTY,25.81,1.179616088
Helensville,FALSE,2005,NATIONAL PARTY,55.09,1.334221361
Helensville,FALSE,2008,NATIONAL PARTY,63.69,1.347366194
Helensville,FALSE,2011,NATIONAL PARTY,65.79,1.324008855
Helensville,FALSE,2014,NATIONAL PARTY,58.51,1.179161628
Hunua,FALSE,1996,NATIONAL PARTY,41.94,1.18911256
Hunua,FALSE,1999,NATIONAL PARTY,38.23,1.201445632
Hunua,FALSE,2008,NATIONAL PARTY,60.64,1.282843241
Hunua,FALSE,2011,NATIONAL PARTY,62.58,1.259408332
Hunua,FALSE,2014,NATIONAL PARTY,63.91,1.287988714
Hutt South,FALSE,1996,NATIONAL PARTY,33.65,0.954068614
Hutt South,FALSE,1999,NATIONAL PARTY,30.23,0.950031427
Hutt South,FALSE,2002,NATIONAL PARTY,18.56,0.848263254
Hutt South,FALSE,2005,NATIONAL PARTY,35.09,0.849842577
Hutt South,FALSE,2008,NATIONAL PARTY,37.83,0.800296171
Hutt South,FALSE,2011,NATIONAL PARTY,41.05,0.826121956
Hutt South,FALSE,2014,NATIONAL PARTY,45.3,0.912938331
Ikaroa-Rawhiti,TRUE,1999,NATIONAL PARTY,4.45,0.777972028
Ikaroa-Rawhiti,TRUE,2002,NATIONAL PARTY,3.49,0.828978622
Ikaroa-Rawhiti,TRUE,2005,NATIONAL PARTY,2.73,0.639344262
Ikaroa-Rawhiti,TRUE,2008,NATIONAL PARTY,4.86,0.652348993
Ikaroa-Rawhiti,TRUE,2011,NATIONAL PARTY,5.97,0.695804196
Ikaroa-Rawhiti,TRUE,2014,NATIONAL PARTY,5.45,0.687263556
Ilam,FALSE,1996,NATIONAL PARTY,44.67,1.266515452
Ilam,FALSE,1999,NATIONAL PARTY,42.05,1.321495915
Ilam,FALSE,2002,NATIONAL PARTY,29.87,1.365173675
Ilam,FALSE,2005,NATIONAL PARTY,49.24,1.192540567
Ilam,FALSE,2008,NATIONAL PARTY,52.82,1.11741062
Ilam,FALSE,2011,NATIONAL PARTY,58.34,1.174079292
Ilam,FALSE,2014,NATIONAL PARTY,57.72,1.163240629
Invercargill,FALSE,1996,NATIONAL PARTY,34.26,0.971363765
Invercargill,FALSE,1999,NATIONAL PARTY,29.92,0.940289126
Invercargill,FALSE,2002,NATIONAL PARTY,26.6,1.215722121
Invercargill,FALSE,2005,NATIONAL PARTY,39.49,0.956405909
Invercargill,FALSE,2008,NATIONAL PARTY,47.54,1.005711868
Invercargill,FALSE,2011,NATIONAL PARTY,49.88,1.003823707
Invercargill,FALSE,2014,NATIONAL PARTY,49.48,0.997178557
Kaikoura,FALSE,1996,NATIONAL PARTY,36.2,1.026368018
Kaikoura,FALSE,1999,NATIONAL PARTY,33.02,1.037712131
Kaikoura,FALSE,2002,NATIONAL PARTY,26.51,1.211608775
Kaikoura,FALSE,2005,NATIONAL PARTY,45.02,1.090336643
Kaikoura,FALSE,2008,NATIONAL PARTY,51.83,1.096467104
Kaikoura,FALSE,2011,NATIONAL PARTY,55.41,1.115113705
Kaikoura,FALSE,2014,NATIONAL PARTY,56.64,1.141475212
Karapiro,FALSE,1996,NATIONAL PARTY,42.68,1.210093564
Karapiro,FALSE,1999,NATIONAL PARTY,39.02,1.226272784
Kelston,FALSE,2014,NATIONAL PARTY,32.32,0.651350262
Mahia,FALSE,1996,NATIONAL PARTY,34.75,0.985256592
Mana,FALSE,1996,NATIONAL PARTY,31.43,0.891125602
Mana,FALSE,1999,NATIONAL PARTY,28.7,0.90194846
Mana,FALSE,2002,NATIONAL PARTY,17.27,0.789305302
Mana,FALSE,2005,NATIONAL PARTY,31.54,0.763865343
Mana,FALSE,2008,NATIONAL PARTY,36.67,0.775756294
Mana,FALSE,2011,NATIONAL PARTY,39.95,0.803984705
Mana,FALSE,2014,NATIONAL PARTY,40.53,0.816807739
Mangere,FALSE,1996,NATIONAL PARTY,17.66,0.500708818
Mangere,FALSE,1999,NATIONAL PARTY,12.14,0.381521056
Mangere,FALSE,2002,NATIONAL PARTY,7.41,0.338665448
Mangere,FALSE,2005,NATIONAL PARTY,13.58,0.328893194
Mangere,FALSE,2008,NATIONAL PARTY,16.43,0.347577745
Mangere,FALSE,2011,NATIONAL PARTY,14.36,0.288991749
Mangere,FALSE,2014,NATIONAL PARTY,15.66,0.315598549
Manukau East,FALSE,1996,NATIONAL PARTY,36.63,1.038559682
Manukau East,FALSE,1999,NATIONAL PARTY,32.06,1.007542426
Manukau East,FALSE,2002,NATIONAL PARTY,16.12,0.736745887
Manukau East,FALSE,2005,NATIONAL PARTY,30.98,0.750302737
Manukau East,FALSE,2008,NATIONAL PARTY,24.19,0.511741062
Manukau East,FALSE,2011,NATIONAL PARTY,19.61,0.39464681
Manukau East,FALSE,2014,NATIONAL PARTY,20.29,0.408907699
Manurewa,FALSE,1996,NATIONAL PARTY,27.82,0.788772328
