Electoral District,Maori,Year,Party,Percent,Ratio
Waiariki,TRUE,2005,UNITED FUTURE,0.45,0.849056603773585
Aoraki,FALSE,2005,UNITED FUTURE,2.58,0.918149466192171
Auckland Central,FALSE,2005,UNITED FUTURE,1.3,0.462633451957295
Banks Peninsula,FALSE,2005,UNITED FUTURE,3.52,1.25266903914591
Bay of Plenty,FALSE,2005,UNITED FUTURE,3.89,1.38434163701068
Christchurch Central,FALSE,2005,UNITED FUTURE,3.04,1.08185053380783
Christchurch East,FALSE,2005,UNITED FUTURE,3.33,1.18505338078292
Clevedon,FALSE,2005,UNITED FUTURE,2.15,0.765124555160142
Clutha-Southland,FALSE,2005,UNITED FUTURE,3.39,1.20640569395018
Coromandel,FALSE,2005,UNITED FUTURE,2.46,0.875444839857651
Dunedin North,FALSE,2005,UNITED FUTURE,2.76,0.98220640569395
Dunedin South,FALSE,2005,UNITED FUTURE,2.47,0.879003558718861
East Coast,FALSE,2005,UNITED FUTURE,2.96,1.05338078291815
East Coast Bays,FALSE,2005,UNITED FUTURE,2.39,0.850533807829182
Epsom,FALSE,2005,UNITED FUTURE,1.75,0.622775800711744
Hamilton East,FALSE,2005,UNITED FUTURE,3.41,1.2135231316726
Hamilton West,FALSE,2005,UNITED FUTURE,2.85,1.01423487544484
Helensville,FALSE,2005,UNITED FUTURE,2.47,0.879003558718861
Hutt South,FALSE,2005,UNITED FUTURE,3.88,1.38078291814947
Ilam,FALSE,2005,UNITED FUTURE,3.58,1.27402135231317
Invercargill,FALSE,2005,UNITED FUTURE,3.22,1.14590747330961
Kaikoura,FALSE,2005,UNITED FUTURE,2.82,1.00355871886121
Mana,FALSE,2005,UNITED FUTURE,4.2,1.49466192170819
Mangere,FALSE,2005,UNITED FUTURE,1.63,0.580071174377224
Manukau East,FALSE,2005,UNITED FUTURE,1.47,0.523131672597865
Manurewa,FALSE,2005,UNITED FUTURE,2.02,0.718861209964413
Maungakiekie,FALSE,2005,UNITED FUTURE,2.04,0.725978647686833
Mt Albert,FALSE,2005,UNITED FUTURE,2.01,0.715302491103203
Mt Roskill,FALSE,2005,UNITED FUTURE,2.49,0.886120996441281
Napier,FALSE,2005,UNITED FUTURE,2.45,0.871886120996441
Nelson,FALSE,2005,UNITED FUTURE,3.5,1.24555160142349
New Lynn,FALSE,2005,UNITED FUTURE,2.48,0.882562277580071
New Plymouth,FALSE,2005,UNITED FUTURE,2.37,0.843416370106762
North Shore,FALSE,2005,UNITED FUTURE,2.14,0.761565836298932
Northcote,FALSE,2005,UNITED FUTURE,2.38,0.846975088967971
Northland,FALSE,2005,UNITED FUTURE,1.99,0.708185053380783
Ohariu-Belmont,FALSE,2005,UNITED FUTURE,5.55,1.97508896797153
Otago,FALSE,2005,UNITED FUTURE,2.13,0.758007117437722
Otaki,FALSE,2005,UNITED FUTURE,3.35,1.19217081850534
Pakuranga,FALSE,2005,UNITED FUTURE,2.44,0.868327402135231
Palmerston North,FALSE,2005,UNITED FUTURE,3.29,1.17081850533808
Piako,FALSE,2005,UNITED FUTURE,2.54,0.903914590747331
Port Waikato,FALSE,2005,UNITED FUTURE,2.34,0.832740213523132
Rakaia,FALSE,2005,UNITED FUTURE,3.23,1.14946619217082
Rangitikei,FALSE,2005,UNITED FUTURE,3.21,1.1423487544484
Rimutaka,FALSE,2005,UNITED FUTURE,4.66,1.65836298932384
Rodney,FALSE,2005,UNITED FUTURE,3.09,1.09964412811388
Rongotai,FALSE,2005,UNITED FUTURE,2.91,1.0355871886121
Rotorua,FALSE,2005,UNITED FUTURE,2.96,1.05338078291815
Tamaki,FALSE,2005,UNITED FUTURE,1.67,0.594306049822064
Taranaki-King Country,FALSE,2005,UNITED FUTURE,2.03,0.722419928825623
Taupo,FALSE,2005,UNITED FUTURE,2.61,0.928825622775801
Tauranga,FALSE,2005,UNITED FUTURE,4.47,1.59074733096085
Te Atatu,FALSE,2005,UNITED FUTURE,3.07,1.09252669039146
Tukituki,FALSE,2005,UNITED FUTURE,2.41,0.857651245551601
Waimakariri,FALSE,2005,UNITED FUTURE,3.26,1.16014234875445
Wairarapa,FALSE,2005,UNITED FUTURE,2.01,0.715302491103203
Waitakere,FALSE,2005,UNITED FUTURE,2.94,1.04626334519573
Wellington Central,FALSE,2005,UNITED FUTURE,2.58,0.918149466192171
West Coast-Tasman,FALSE,2005,UNITED FUTURE,3.03,1.07829181494662
Whanganui,FALSE,2005,UNITED FUTURE,2.71,0.9644128113879
Whangarei,FALSE,2005,UNITED FUTURE,1.79,0.637010676156584
Wigram,FALSE,2005,UNITED FUTURE,3.87,1.37722419928826
Hauraki-Waikato,TRUE,2008,UNITED FUTURE,0.18,1.28571428571429
Ikaroa-Rawhiti,TRUE,2008,UNITED FUTURE,0.09,0.642857142857143
Tamaki Makaurau,TRUE,2008,UNITED FUTURE,0.13,0.928571428571428
Te Tai Hauauru,TRUE,2008,UNITED FUTURE,0.12,0.857142857142857
Te Tai Tokerau,TRUE,2008,UNITED FUTURE,0.12,0.857142857142857
Te Tai Tonga,TRUE,2008,UNITED FUTURE,0.19,1.35714285714286
Waiariki,TRUE,2008,UNITED FUTURE,0.13,0.928571428571428
Auckland Central,FALSE,2008,UNITED FUTURE,0.48,0.521739130434783
Bay of Plenty,FALSE,2008,UNITED FUTURE,0.7,0.760869565217391
Botany,FALSE,2008,UNITED FUTURE,0.7,0.760869565217391
Christchurch Central,FALSE,2008,UNITED FUTURE,0.72,0.782608695652174
Christchurch East,FALSE,2008,UNITED FUTURE,0.95,1.03260869565217
Clutha-Southland,FALSE,2008,UNITED FUTURE,0.75,0.815217391304348
Coromandel,FALSE,2008,UNITED FUTURE,0.75,0.815217391304348
Dunedin North,FALSE,2008,UNITED FUTURE,0.94,1.02173913043478
Dunedin South,FALSE,2008,UNITED FUTURE,0.74,0.804347826086956
East Coast,FALSE,2008,UNITED FUTURE,2.19,2.3804347826087
East Coast Bays,FALSE,2008,UNITED FUTURE,0.74,0.804347826086956
Epsom,FALSE,2008,UNITED FUTURE,0.67,0.728260869565217
Hamilton East,FALSE,2008,UNITED FUTURE,1.35,1.46739130434783
Hamilton West,FALSE,2008,UNITED FUTURE,1.12,1.21739130434783
Helensville,FALSE,2008,UNITED FUTURE,0.78,0.847826086956522
Hunua,FALSE,2008,UNITED FUTURE,0.82,0.891304347826087
Hutt South,FALSE,2008,UNITED FUTURE,1.42,1.54347826086956
Ilam,FALSE,2008,UNITED FUTURE,1.39,1.51086956521739
Invercargill,FALSE,2008,UNITED FUTURE,0.91,0.989130434782609
Kaikoura,FALSE,2008,UNITED FUTURE,0.93,1.01086956521739
Mana,FALSE,2008,UNITED FUTURE,1.32,1.43478260869565
Mangere,FALSE,2008,UNITED FUTURE,0.87,0.945652173913043
Manukau East,FALSE,2008,UNITED FUTURE,0.46,0.5
Manurewa,FALSE,2008,UNITED FUTURE,0.65,0.706521739130435
Maungakiekie,FALSE,2008,UNITED FUTURE,1.13,1.22826086956522
Mt Albert,FALSE,2008,UNITED FUTURE,0.66,0.717391304347826
Mt Roskill,FALSE,2008,UNITED FUTURE,0.87,0.945652173913043
Napier,FALSE,2008,UNITED FUTURE,0.6,0.652173913043478
Nelson,FALSE,2008,UNITED FUTURE,1.07,1.16304347826087
New Lynn,FALSE,2008,UNITED FUTURE,0.84,0.91304347826087
New Plymouth,FALSE,2008,UNITED FUTURE,0.65,0.706521739130435
North Shore,FALSE,2008,UNITED FUTURE,0.94,1.02173913043478
Northcote,FALSE,2008,UNITED FUTURE,0.98,1.06521739130435
Northland,FALSE,2008,UNITED FUTURE,0.67,0.728260869565217
Ohariu,FALSE,2008,UNITED FUTURE,2.21,2.40217391304348
Otaki,FALSE,2008,UNITED FUTURE,1.01,1.09782608695652
Pakuranga,FALSE,2008,UNITED FUTURE,0.96,1.04347826086957
Palmerston North,FALSE,2008,UNITED FUTURE,1.24,1.34782608695652
Papakura,FALSE,2008,UNITED FUTURE,0.83,0.902173913043478
Port Hills,FALSE,2008,UNITED FUTURE,0.89,0.967391304347826
Rangitata,FALSE,2008,UNITED FUTURE,0.87,0.945652173913043
Rangitikei,FALSE,2008,UNITED FUTURE,1.15,1.25
Rimutaka,FALSE,2008,UNITED FUTURE,1.4,1.52173913043478
Rodney,FALSE,2008,UNITED FUTURE,0.76,0.826086956521739
Rongotai,FALSE,2008,UNITED FUTURE,0.86,0.934782608695652
Rotorua,FALSE,2008,UNITED FUTURE,0.84,0.91304347826087
Selwyn,FALSE,2008,UNITED FUTURE,1.15,1.25
Tamaki,FALSE,2008,UNITED FUTURE,0.76,0.826086956521739
Taranaki-King Country,FALSE,2008,UNITED FUTURE,0.8,0.869565217391304
Taupo,FALSE,2008,UNITED FUTURE,0.8,0.869565217391304
Tauranga,FALSE,2008,UNITED FUTURE,0.68,0.739130434782609
Te Atatu,FALSE,2008,UNITED FUTURE,0.88,0.956521739130435
Tukituki,FALSE,2008,UNITED FUTURE,0.55,0.597826086956522
Waikato,FALSE,2008,UNITED FUTURE,0.88,0.956521739130435
Waimakariri,FALSE,2008,UNITED FUTURE,0.91,0.989130434782609
Wairarapa,FALSE,2008,UNITED FUTURE,0.68,0.739130434782609
Waitakere,FALSE,2008,UNITED FUTURE,0.71,0.771739130434782
Waitaki,FALSE,2008,UNITED FUTURE,0.7,0.760869565217391
Wellington Central,FALSE,2008,UNITED FUTURE,1,1.08695652173913
West Coast-Tasman,FALSE,2008,UNITED FUTURE,1.15,1.25
Whanganui,FALSE,2008,UNITED FUTURE,0.65,0.706521739130435
Whangarei,FALSE,2008,UNITED FUTURE,0.71,0.771739130434782
Wigram,FALSE,2008,UNITED FUTURE,1.01,1.09782608695652
Hauraki-Waikato,TRUE,2011,UNITED FUTURE,0.18,1.38461538461538
Ikaroa-Rawhiti,TRUE,2011,UNITED FUTURE,0.08,0.615384615384615
Tamaki Makaurau,TRUE,2011,UNITED FUTURE,0.05,0.384615384615385
Te Tai Hauauru,TRUE,2011,UNITED FUTURE,0.14,1.07692307692308
Te Tai Tokerau,TRUE,2011,UNITED FUTURE,0.09,0.692307692307692
Te Tai Tonga,TRUE,2011,UNITED FUTURE,0.24,1.84615384615385
Waiariki,TRUE,2011,UNITED FUTURE,0.12,0.923076923076923
Auckland Central,FALSE,2011,UNITED FUTURE,0.22,0.349206349206349
Bay of Plenty,FALSE,2011,UNITED FUTURE,0.57,0.904761904761905
Botany,FALSE,2011,UNITED FUTURE,0.32,0.507936507936508
Christchurch Central,FALSE,2011,UNITED FUTURE,0.54,0.857142857142857
Christchurch East,FALSE,2011,UNITED FUTURE,0.56,0.888888888888889
Clutha-Southland,FALSE,2011,UNITED FUTURE,0.81,1.28571428571429
Coromandel,FALSE,2011,UNITED FUTURE,0.68,1.07936507936508
Dunedin North,FALSE,2011,UNITED FUTURE,0.61,0.968253968253968
Dunedin South,FALSE,2011,UNITED FUTURE,0.53,0.841269841269841
East Coast,FALSE,2011,UNITED FUTURE,0.91,1.44444444444444
East Coast Bays,FALSE,2011,UNITED FUTURE,0.43,0.682539682539683
Epsom,FALSE,2011,UNITED FUTURE,0.32,0.507936507936508
Hamilton East,FALSE,2011,UNITED FUTURE,0.78,1.23809523809524
Hamilton West,FALSE,2011,UNITED FUTURE,0.71,1.12698412698413
Helensville,FALSE,2011,UNITED FUTURE,0.46,0.73015873015873
Hunua,FALSE,2011,UNITED FUTURE,0.48,0.761904761904762
Hutt South,FALSE,2011,UNITED FUTURE,0.89,1.41269841269841
Ilam,FALSE,2011,UNITED FUTURE,0.72,1.14285714285714
Invercargill,FALSE,2011,UNITED FUTURE,0.82,1.3015873015873
Kaikoura,FALSE,2011,UNITED FUTURE,0.9,1.42857142857143
Mana,FALSE,2011,UNITED FUTURE,0.68,1.07936507936508
Mangere,FALSE,2011,UNITED FUTURE,0.2,0.317460317460317
Manukau East,FALSE,2011,UNITED FUTURE,0.15,0.238095238095238
Manurewa,FALSE,2011,UNITED FUTURE,0.22,0.349206349206349
Maungakiekie,FALSE,2011,UNITED FUTURE,0.38,0.603174603174603
Mt Albert,FALSE,2011,UNITED FUTURE,0.35,0.555555555555555
Mt Roskill,FALSE,2011,UNITED FUTURE,0.39,0.619047619047619
Napier,FALSE,2011,UNITED FUTURE,0.6,0.952380952380952
Nelson,FALSE,2011,UNITED FUTURE,0.99,1.57142857142857
New Lynn,FALSE,2011,UNITED FUTURE,0.38,0.603174603174603
New Plymouth,FALSE,2011,UNITED FUTURE,0.45,0.714285714285714
North Shore,FALSE,2011,UNITED FUTURE,0.48,0.761904761904762
Northcote,FALSE,2011,UNITED FUTURE,0.58,0.920634920634921
Northland,FALSE,2011,UNITED FUTURE,0.46,0.73015873015873
Ohariu,FALSE,2011,UNITED FUTURE,1.78,2.82539682539683
Otaki,FALSE,2011,UNITED FUTURE,0.71,1.12698412698413
Pakuranga,FALSE,2011,UNITED FUTURE,0.46,0.73015873015873
Palmerston North,FALSE,2011,UNITED FUTURE,0.64,1.01587301587302
Papakura,FALSE,2011,UNITED FUTURE,0.42,0.666666666666667
Port Hills,FALSE,2011,UNITED FUTURE,0.47,0.746031746031746
Rangitata,FALSE,2011,UNITED FUTURE,0.85,1.34920634920635
Rangitikei,FALSE,2011,UNITED FUTURE,0.82,1.3015873015873
Rimutaka,FALSE,2011,UNITED FUTURE,0.99,1.57142857142857
Rodney,FALSE,2011,UNITED FUTURE,0.4,0.634920634920635
Rongotai,FALSE,2011,UNITED FUTURE,0.59,0.936507936507936
Rotorua,FALSE,2011,UNITED FUTURE,0.82,1.3015873015873
Selwyn,FALSE,2011,UNITED FUTURE,0.69,1.0952380952381
Tamaki,FALSE,2011,UNITED FUTURE,0.41,0.650793650793651
Taranaki-King Country,FALSE,2011,UNITED FUTURE,1.1,1.74603174603175
Taupo,FALSE,2011,UNITED FUTURE,0.92,1.46031746031746
Tauranga,FALSE,2011,UNITED FUTURE,0.56,0.888888888888889
Te Atatu,FALSE,2011,UNITED FUTURE,0.39,0.619047619047619
Tukituki,FALSE,2011,UNITED FUTURE,0.65,1.03174603174603
Waikato,FALSE,2011,UNITED FUTURE,0.77,1.22222222222222
Waimakariri,FALSE,2011,UNITED FUTURE,0.58,0.920634920634921
Wairarapa,FALSE,2011,UNITED FUTURE,0.68,1.07936507936508
Waitakere,FALSE,2011,UNITED FUTURE,0.4,0.634920634920635
Waitaki,FALSE,2011,UNITED FUTURE,0.82,1.3015873015873
Wellington Central,FALSE,2011,UNITED FUTURE,0.65,1.03174603174603
West Coast-Tasman,FALSE,2011,UNITED FUTURE,1.39,2.20634920634921
Whanganui,FALSE,2011,UNITED FUTURE,0.45,0.714285714285714
Whangarei,FALSE,2011,UNITED FUTURE,0.52,0.825396825396825
Wigram,FALSE,2011,UNITED FUTURE,0.78,1.23809523809524
Hauraki-Waikato,TRUE,2014,UNITED FUTURE,0.07,1
Ikaroa-Rawhiti,TRUE,2014,UNITED FUTURE,0.03,0.428571428571428
Tamaki Makaurau,TRUE,2014,UNITED FUTURE,0.08,1.14285714285714
Te Tai Hauauru,TRUE,2014,UNITED FUTURE,0.07,1
Te Tai Tokerau,TRUE,2014,UNITED FUTURE,0.08,1.14285714285714
Te Tai Tonga,TRUE,2014,UNITED FUTURE,0.09,1.28571428571429
Waiariki,TRUE,2014,UNITED FUTURE,0.05,0.714285714285714
Auckland Central,FALSE,2014,UNITED FUTURE,0.19,0.826086956521739
Bay of Plenty,FALSE,2014,UNITED FUTURE,0.21,0.91304347826087
Botany,FALSE,2014,UNITED FUTURE,0.15,0.652173913043478
Christchurch Central,FALSE,2014,UNITED FUTURE,0.23,1
Christchurch East,FALSE,2014,UNITED FUTURE,0.23,1
Clutha-Southland,FALSE,2014,UNITED FUTURE,0.2,0.869565217391304
Coromandel,FALSE,2014,UNITED FUTURE,0.17,0.739130434782609
Dunedin North,FALSE,2014,UNITED FUTURE,0.25,1.08695652173913
Dunedin South,FALSE,2014,UNITED FUTURE,0.17,0.739130434782609
East Coast,FALSE,2014,UNITED FUTURE,0.22,0.956521739130435
East Coast Bays,FALSE,2014,UNITED FUTURE,0.21,0.91304347826087
Epsom,FALSE,2014,UNITED FUTURE,0.16,0.695652173913043
Hamilton East,FALSE,2014,UNITED FUTURE,0.3,1.30434782608696
Hamilton West,FALSE,2014,UNITED FUTURE,0.26,1.1304347826087
Helensville,FALSE,2014,UNITED FUTURE,0.26,1.1304347826087
Hunua,FALSE,2014,UNITED FUTURE,0.23,1
Hutt South,FALSE,2014,UNITED FUTURE,0.35,1.52173913043478
Ilam,FALSE,2014,UNITED FUTURE,0.26,1.1304347826087
Invercargill,FALSE,2014,UNITED FUTURE,0.2,0.869565217391304
Kaikoura,FALSE,2014,UNITED FUTURE,0.26,1.1304347826087
Kelston,FALSE,2014,UNITED FUTURE,0.16,0.695652173913043
Mana,FALSE,2014,UNITED FUTURE,0.32,1.39130434782609
Mangere,FALSE,2014,UNITED FUTURE,0.1,0.434782608695652
Manukau East,FALSE,2014,UNITED FUTURE,0.07,0.304347826086957
Manurewa,FALSE,2014,UNITED FUTURE,0.09,0.391304347826087
Maungakiekie,FALSE,2014,UNITED FUTURE,0.23,1
Mt Albert,FALSE,2014,UNITED FUTURE,0.16,0.695652173913043
Mt Roskill,FALSE,2014,UNITED FUTURE,0.2,0.869565217391304
Napier,FALSE,2014,UNITED FUTURE,0.17,0.739130434782609
Nelson,FALSE,2014,UNITED FUTURE,0.25,1.08695652173913
New Lynn,FALSE,2014,UNITED FUTURE,0.17,0.739130434782609
New Plymouth,FALSE,2014,UNITED FUTURE,0.18,0.782608695652174
North Shore,FALSE,2014,UNITED FUTURE,0.25,1.08695652173913
Northcote,FALSE,2014,UNITED FUTURE,0.34,1.47826086956522
Northland,FALSE,2014,UNITED FUTURE,0.2,0.869565217391304
Ohariu,FALSE,2014,UNITED FUTURE,0.73,3.17391304347826
Otaki,FALSE,2014,UNITED FUTURE,0.19,0.826086956521739
Pakuranga,FALSE,2014,UNITED FUTURE,0.23,1
Palmerston North,FALSE,2014,UNITED FUTURE,0.23,1
Papakura,FALSE,2014,UNITED FUTURE,0.17,0.739130434782609
Port Hills,FALSE,2014,UNITED FUTURE,0.2,0.869565217391304
Rangitata,FALSE,2014,UNITED FUTURE,0.31,1.34782608695652
Rangitikei,FALSE,2014,UNITED FUTURE,0.22,0.956521739130435
Rimutaka,FALSE,2014,UNITED FUTURE,0.33,1.43478260869565
Rodney,FALSE,2014,UNITED FUTURE,0.21,0.91304347826087
Rongotai,FALSE,2014,UNITED FUTURE,0.37,1.60869565217391
Rotorua,FALSE,2014,UNITED FUTURE,0.21,0.91304347826087
Selwyn,FALSE,2014,UNITED FUTURE,0.24,1.04347826086957
Tamaki,FALSE,2014,UNITED FUTURE,0.19,0.826086956521739
Taranaki-King Country,FALSE,2014,UNITED FUTURE,0.25,1.08695652173913
Taupo,FALSE,2014,UNITED FUTURE,0.26,1.1304347826087
Tauranga,FALSE,2014,UNITED FUTURE,0.25,1.08695652173913
