Electoral District,Maori,Year,Party,Percent,Ratio
Hunua,FALSE,1999,LABOUR PARTY,29.75,0.785582255083179
Hutt South,FALSE,1999,LABOUR PARTY,42.18,1.11381040401373
Ilam,FALSE,1999,LABOUR PARTY,28.7,0.757855822550832
Invercargill,FALSE,1999,LABOUR PARTY,44.93,1.18642725112226
Kaikoura,FALSE,1999,LABOUR PARTY,35.09,0.926590969104833
Karapiro,FALSE,1999,LABOUR PARTY,27.56,0.727752838658569
Mana,FALSE,1999,LABOUR PARTY,44.42,1.17296012674941
Mangere,FALSE,1999,LABOUR PARTY,67.32,1.77766041721679
Manukau East,FALSE,1999,LABOUR PARTY,45.39,1.19857406918405
Manurewa,FALSE,1999,LABOUR PARTY,51.84,1.36889358331133
Maungakiekie,FALSE,1999,LABOUR PARTY,46.44,1.2263005017164
Mt Albert,FALSE,1999,LABOUR PARTY,51.37,1.35648270398733
Mt Roskill,FALSE,1999,LABOUR PARTY,45.75,1.20808027462371
Napier,FALSE,1999,LABOUR PARTY,44.27,1.16899920781621
Nelson,FALSE,1999,LABOUR PARTY,40.62,1.07261684710853
New Plymouth,FALSE,1999,LABOUR PARTY,41.98,1.10852917876947
North Shore,FALSE,1999,LABOUR PARTY,28.73,0.75864800633747
Northcote,FALSE,1999,LABOUR PARTY,35.93,0.94877211513071
Northland,FALSE,1999,LABOUR PARTY,31.31,0.826775811988381
Ohariu-Belmont,FALSE,1999,LABOUR PARTY,31.22,0.824399260628466
Otago,FALSE,1999,LABOUR PARTY,36.56,0.965407974650119
Otaki,FALSE,1999,LABOUR PARTY,41.73,1.10192764721415
Pakuranga,FALSE,1999,LABOUR PARTY,29.04,0.766833905466068
Palmerston North,FALSE,1999,LABOUR PARTY,39.23,1.03591233166095
Port Waikato,FALSE,1999,LABOUR PARTY,30.59,0.807763401109057
Rakaia,FALSE,1999,LABOUR PARTY,28.47,0.751782413519937
Rangitikei,FALSE,1999,LABOUR PARTY,33.41,0.882228677053076
Rimutaka,FALSE,1999,LABOUR PARTY,43.48,1.1481383681014
Rodney,FALSE,1999,LABOUR PARTY,30.26,0.799049379456034
Rongotai,FALSE,1999,LABOUR PARTY,41.59,1.09823078954317
Rotorua,FALSE,1999,LABOUR PARTY,38.42,1.01452336942171
Tamaki,FALSE,1999,LABOUR PARTY,31.41,0.82941642461051
Taranaki-King Country,FALSE,1999,LABOUR PARTY,25.62,0.676524953789279
Taupo,FALSE,1999,LABOUR PARTY,38.86,1.02614206495907
Tauranga,FALSE,1999,LABOUR PARTY,33.5,0.884605228412992
Te Atatu,FALSE,1999,LABOUR PARTY,48.86,1.2902033271719
Titirangi,FALSE,1999,LABOUR PARTY,45.16,1.19250066015316
Tukituki,FALSE,1999,LABOUR PARTY,41.47,1.09506205439662
Waimakariri,FALSE,1999,LABOUR PARTY,38.58,1.01874834961711
Wairarapa,FALSE,1999,LABOUR PARTY,36.31,0.958806443094798
Waitakere,FALSE,1999,LABOUR PARTY,31.55,0.833113282281489
Wellington Central,FALSE,1999,LABOUR PARTY,32.71,0.863744388698178
West Coast-Tasman,FALSE,1999,LABOUR PARTY,30.08,0.794296276736203
Whanganui,FALSE,1999,LABOUR PARTY,38.98,1.02931080010562
Whangarei,FALSE,1999,LABOUR PARTY,33.27,0.878531819382097
Wigram,FALSE,1999,LABOUR PARTY,41.28,1.09004489041458
Ikaroa-Rawhiti,TRUE,2002,LABOUR PARTY,60.08,1.11818351014331
Tainui,TRUE,2002,LABOUR PARTY,53.39,0.993672064023823
Tamaki Makaurau,TRUE,2002,LABOUR PARTY,55.97,1.04168993113717
Te Tai Hauauru,TRUE,2002,LABOUR PARTY,56.08,1.04373720454122
Te Tai Tokerau,TRUE,2002,LABOUR PARTY,47.23,0.879024753396613
Te Tai Tonga,TRUE,2002,LABOUR PARTY,51.14,0.95179601712265
Waiariki,TRUE,2002,LABOUR PARTY,52.93,0.985110738879583
Aoraki,FALSE,2002,LABOUR PARTY,44.56,1.09861932938856
Auckland Central,FALSE,2002,LABOUR PARTY,44.1,1.08727810650888
Banks Peninsula,FALSE,2002,LABOUR PARTY,40.23,0.991863905325444
Bay of Plenty,FALSE,2002,LABOUR PARTY,30.89,0.761587771203156
Christchurch Central,FALSE,2002,LABOUR PARTY,44.21,1.08999013806706
Christchurch East,FALSE,2002,LABOUR PARTY,51.29,1.26454635108481
Clevedon,FALSE,2002,LABOUR PARTY,34.18,0.842702169625246
Clutha-Southland,FALSE,2002,LABOUR PARTY,31.82,0.784516765285996
Coromandel,FALSE,2002,LABOUR PARTY,34.39,0.847879684418146
Dunedin North,FALSE,2002,LABOUR PARTY,49.71,1.22559171597633
Dunedin South,FALSE,2002,LABOUR PARTY,55.89,1.37795857988166
East Coast,FALSE,2002,LABOUR PARTY,40.67,1.00271203155819
East Coast Bays,FALSE,2002,LABOUR PARTY,33.81,0.833579881656805
Epsom,FALSE,2002,LABOUR PARTY,28.72,0.708086785009862
Hamilton East,FALSE,2002,LABOUR PARTY,35.75,0.881410256410256
Hamilton West,FALSE,2002,LABOUR PARTY,41.62,1.02613412228797
Helensville,FALSE,2002,LABOUR PARTY,30.83,0.760108481262327
Hutt South,FALSE,2002,LABOUR PARTY,45.4,1.11932938856016
Ilam,FALSE,2002,LABOUR PARTY,33.24,0.819526627218935
Invercargill,FALSE,2002,LABOUR PARTY,46.73,1.15212031558185
Kaikoura,FALSE,2002,LABOUR PARTY,39.25,0.967702169625246
Mana,FALSE,2002,LABOUR PARTY,47.52,1.17159763313609
Mangere,FALSE,2002,LABOUR PARTY,70.9,1.74802761341223
Manukau East,FALSE,2002,LABOUR PARTY,56.18,1.38510848126233
Manurewa,FALSE,2002,LABOUR PARTY,56.55,1.39423076923077
Maungakiekie,FALSE,2002,LABOUR PARTY,50.62,1.24802761341223
Mt Albert,FALSE,2002,LABOUR PARTY,52.09,1.28427021696252
Mt Roskill,FALSE,2002,LABOUR PARTY,49.73,1.22608481262327
Napier,FALSE,2002,LABOUR PARTY,45.63,1.125
Nelson,FALSE,2002,LABOUR PARTY,44.92,1.10749506903353
New Lynn,FALSE,2002,LABOUR PARTY,48.49,1.19551282051282
New Plymouth,FALSE,2002,LABOUR PARTY,41.58,1.02514792899408
North Shore,FALSE,2002,LABOUR PARTY,31.27,0.770956607495069
Northcote,FALSE,2002,LABOUR PARTY,38.78,0.956114398422091
Northland,FALSE,2002,LABOUR PARTY,29.61,0.730029585798816
Ohariu-Belmont,FALSE,2002,LABOUR PARTY,36.64,0.903353057199211
Otago,FALSE,2002,LABOUR PARTY,40.51,0.998767258382643
Otaki,FALSE,2002,LABOUR PARTY,44.17,1.08900394477318
Pakuranga,FALSE,2002,LABOUR PARTY,31.95,0.787721893491124
Palmerston North,FALSE,2002,LABOUR PARTY,42.55,1.04906311637081
Piako,FALSE,2002,LABOUR PARTY,32.05,0.790187376725838
Port Waikato,FALSE,2002,LABOUR PARTY,28.1,0.692800788954635
Rakaia,FALSE,2002,LABOUR PARTY,30.88,0.761341222879684
Rangitikei,FALSE,2002,LABOUR PARTY,35.83,0.883382642998027
Rimutaka,FALSE,2002,LABOUR PARTY,46.52,1.14694280078895
Rodney,FALSE,2002,LABOUR PARTY,32.37,0.798076923076923
