Pollster,Days Before,Labour,National,NZ First,ACT,Green,United Future,Maori,Mana,Conservative,Labour Miss,National Miss,NZ First Miss,ACT Miss,Green Miss,United Future Miss,Maori Miss,Mana Miss,Conservative Miss
TNS,31,0.0501,0.0007,-0.0137,-0.0185,-0.0002,-0.0077,0.0011,NA,NA,0.0046,0.0252,-0.009033333,-0.013,0.012383333,-0.003533333,0.000183333,NA,NA
Colmar Brunton,33,-0.0099,0.0607,-0.0147,-0.0205,0.0128,-0.0077,0.0041,NA,NA,0.0096,0.0202,-0.00895,-0.012833333,0.0113,-0.003533333,-6.67E-05,NA,NA
Nielsen,28,-0.0099,0.0607,-0.0107,-0.0265,0.0028,0.0013,-0.0039,NA,NA,0.0096,0.0202,-0.009283333,-0.012333333,0.012133333,-0.004283333,0.0006,NA,NA
Colmar Brunton,26,0.0201,0.0507,-0.0197,-0.0155,-0.0172,-0.0037,-0.0029,NA,NA,0.0071,0.021033333,-0.008533333,-0.01325,0.0138,-0.003866667,0.000516667,NA,NA
Roy Morgan,27,-0.0199,-0.0193,0.0043,-0.0015,0.0478,-0.0037,0.0011,NA,NA,0.010433333,0.026866667,-0.010533333,-0.014416667,0.008383333,-0.003866667,0.000183333,NA,NA
TNS,18,0.0341,0.0017,-0.0057,-0.0195,0.0208,-0.0067,-0.0009,NA,NA,0.005933333,0.025116667,-0.0097,-0.012916667,0.010633333,-0.003616667,0.00035,NA,NA
Digipoll,20,0.0301,0.0547,-0.0197,-0.0245,-0.0132,-0.0067,1.00E-04,NA,NA,0.006266667,0.0207,-0.008533333,-0.0125,0.013466667,-0.003616667,0.000266667,NA,NA
Colmar Brunton,19,0.0101,0.0207,-0.0107,-0.0165,0.0128,-0.0047,0.0061,NA,NA,0.007933333,0.023533333,-0.009283333,-0.013166667,0.0113,-0.003783333,-0.000233333,NA,NA
Roy Morgan,13,0.0051,-0.0293,0.0043,0.0035,0.0328,0.0013,0.0011,NA,NA,0.00835,0.0277,-0.010533333,-0.014833333,0.009633333,-0.004283333,0.000183333,NA,NA
TNS,4,-0.0089,0.0107,-0.0067,-0.0085,0.0228,-0.0067,0.0031,NA,NA,0.009516667,0.024366667,-0.009616667,-0.013833333,0.010466667,-0.003616667,1.67E-05,NA,NA
Colmar Brunton,5,0.0101,0.0207,-0.0167,-0.0115,0.0228,-0.0047,-0.0109,NA,NA,0.006885714,0.022414286,-0.0092,-0.013071429,0.012228571,-0.004057143,0.000457143,NA,NA
Digipoll,6,0.0241,0.0297,-0.0017,-0.0185,-0.0092,-0.0017,-0.0009,NA,NA,0.006766667,0.022783333,-0.010033333,-0.013,0.013133333,-0.004033333,0.00035,NA,NA
Nielsen,3,-0.0299,0.0407,-0.0107,0.0035,0.0128,0.0013,0.0061,NA,NA,0.011266667,0.021866667,-0.009283333,-0.014833333,0.0113,-0.004283333,-0.000233333,NA,NA
Colmar Brunton,97,0.0252,0.0869,-0.0429,0.0063,-0.0506,-0.001,-0.0003,-0.0018,-0.0265,0.003042105,0.048057895,-0.032478947,0.002457895,0.003821053,-0.004052632,-3.68E-05,-0.003536842,-0.020605263
Reid Research,97,0.0132,0.0669,-0.0439,0.0113,-0.0176,-0.006,0.0007,-0.0018,-0.0265,0.003042105,0.048057895,-0.032478947,0.002457895,0.003821053,-0.004052632,-3.68E-05,-0.003536842,-0.020605263
Digipoll,95,0.0402,0.0469,-0.0419,0.0013,-0.0126,-0.005,0.0037,-0.0088,-0.0265,0.003042105,0.048057895,-0.032478947,0.002457895,0.003821053,-0.004052632,-3.68E-05,-0.003536842,-0.020605263
Roy Morgan,97,0.0202,0.0469,-0.0309,0.0093,-0.0206,-0.001,0.0007,-0.0008,-0.0265,0.003042105,0.048057895,-0.032478947,0.002457895,0.003821053,-0.004052632,-3.68E-05,-0.003536842,-0.020605263
Research International,91,-0.0178,0.0979,-0.0439,0.0003,-0.0006,-0.005,0.0017,-0.0048,-0.0265,0.003042105,0.048057895,-0.032478947,0.002457895,0.003821053,-0.004052632,-3.68E-05,-0.003536842,-0.020605263
Roy Morgan,83,-0.0148,0.0969,-0.0309,0.0043,-0.0356,-0.001,0.0107,-0.0008,-0.0265,0.003042105,0.048057895,-0.032478947,0.002457895,0.003821053,-0.004052632,-3.68E-05,-0.003536842,-0.020605263
Roy Morgan,69,0.0302,0.0369,-0.0559,0.0043,0.0044,-0.001,0.0107,-0.0058,-0.0265,0.003042105,0.048057895,-0.032478947,0.002457895,0.003821053,-0.004052632,-3.68E-05,-0.003536842,-0.020605263
Research International,59,0.0052,0.0669,-0.0429,0.0043,-0.0106,-0.002,-0.0013,-0.0088,-0.0265,0.003042105,0.048057895,-0.032478947,0.002457895,0.003821053,-0.004052632,-3.68E-05,-0.003536842,-0.020605263
Colmar Brunton,55,0.0152,0.0869,-0.0469,0.0023,-0.0206,-0.006,-0.0033,-0.0048,-0.0265,0.003042105,0.048057895,-0.032478947,0.002457895,0.003821053,-0.004052632,-3.68E-05,-0.003536842,-0.020605263
Reid Research,55,-0.0088,0.1009,-0.0469,0.0053,-0.0126,-0.006,-0.0063,-0.0108,-0.0265,0.003042105,0.048057895,-0.032478947,0.002457895,0.003821053,-0.004052632,-3.68E-05,-0.003536842,-0.020605263
Roy Morgan,55,0.0052,0.0819,-0.0459,0.0043,-0.0156,-0.001,0.0057,-0.0058,-0.0265,0.003042105,0.048057895,-0.032478947,0.002457895,0.003821053,-0.004052632,-3.68E-05,-0.003536842,-0.020605263
Roy Morgan,41,0.0202,0.0619,-0.0409,-0.0007,-0.0156,0.004,0.0057,-0.0058,-0.0265,0.003042105,0.048057895,-0.032478947,0.002457895,0.003821053,-0.004052632,-3.68E-05,-0.003536842,-0.020605263
Digipoll,33,0.0282,0.0619,-0.0379,0.0043,-0.0156,-0.005,-0.0023,-0.0098,-0.0265,0.001644444,0.047288889,-0.032177778,0.002355556,0.0049,-0.004,8.89E-05,-0.003188889,-0.020277778
Reid Research,27,0.0272,0.0499,-0.0419,0.0043,-0.0166,-0.006,-0.0003,-0.0018,-0.0265,0.0017,0.047955556,-0.031955556,0.002355556,0.004955556,-0.003944444,-2.22E-05,-0.003633333,-0.020277778
Research International,28,0.0382,0.0529,-0.0509,0.0013,-0.0136,-0.005,-0.0023,0.0002,-0.0265,0.001088889,0.047788889,-0.031455556,0.002522222,0.004788889,-0.004,8.89E-05,-0.003744444,-0.020277778
Digipoll,27,0.0162,0.0689,-0.0489,-0.0017,-0.0096,-0.001,0.0047,-0.0098,-0.0155,0.002311111,0.0469,-0.031566667,0.002688889,0.004566667,-0.004222222,-0.0003,-0.003188889,-0.020888889
Colmar Brunton,23,0.0252,0.0869,-0.0439,-0.0017,-0.0206,-0.005,-0.0013,-0.0078,-0.0265,0.001811111,0.0459,-0.031844444,0.002688889,0.005177778,-0.004,3.33E-05,-0.0033,-0.020277778
Roy Morgan,27,-0.0148,0.0569,-0.0209,-0.0007,0.0094,-0.006,0.0057,-0.0008,-0.0265,0.004033333,0.047566667,-0.033122222,0.002633333,0.003511111,-0.003944444,-0.000355556,-0.003688889,-0.020277778
Research International,21,-0.0158,0.0519,-0.0379,-0.0007,0.0154,-0.003,0.0007,-0.0038,-0.0265,0.004088889,0.047844444,-0.032177778,0.002633333,0.003177778,-0.004111111,-7.78E-05,-0.003522222,-0.020277778
Digipoll,20,0.0122,0.0219,-0.0289,0.0043,0.0154,0.001,-0.0093,-0.0038,-0.0165,0.002533333,0.049511111,-0.032677778,0.002355556,0.003177778,-0.004333333,0.000477778,-0.003522222,-0.020833333
Colmar Brunton,16,0.0052,0.0669,-0.0369,0.0043,-0.0206,0.002,0.0067,-0.0088,-0.0215,0.002922222,0.047011111,-0.032233333,0.002355556,0.005177778,-0.004388889,-0.000411111,-0.003244444,-0.020555556
Reid Research,13,0.0242,0.0599,-0.0419,-0.0037,-0.0086,-0.006,-0.0003,-0.0008,-0.0265,0.001866667,0.0474,-0.031955556,0.0028,0.004511111,-0.003944444,-2.22E-05,-0.003688889,-0.020277778
Digipoll,13,0.0162,0.0259,-0.0169,0.0063,0.0154,-0.005,-0.0073,-0.0068,-0.0205,0.002311111,0.049288889,-0.033344444,0.002244444,0.003177778,-0.004,0.000366667,-0.003355556,-0.020611111
Colmar Brunton,9,-0.0148,0.0369,-0.0439,0.0053,0.0194,-0.003,0.0017,0.0022,-0.0125,0.004033333,0.048677778,-0.031844444,0.0023,0.002955556,-0.004111111,-0.000133333,-0.003855556,-0.021055556
Reid Research,9,-0.0008,0.0289,-0.0309,0.0073,0.0194,-0.006,-0.0013,-0.0008,-0.0155,0.003255556,0.049122222,-0.032566667,0.002188889,0.002955556,-0.003944444,3.33E-05,-0.003688889,-0.020888889
Roy Morgan,13,-0.0298,0.0569,-0.0359,0.0043,0.0194,-0.006,0.0157,-0.0008,-0.0265,0.004866667,0.047566667,-0.032288889,0.002355556,0.002955556,-0.003944444,-0.000911111,-0.003688889,-0.020277778
Research International,7,-0.0148,0.0669,-0.0259,-0.0037,0.0094,-0.005,-0.0033,0.0002,-0.0265,0.004033333,0.047011111,-0.032844444,0.0028,0.003511111,-0.004,0.000144444,-0.003744444,-0.020277778
Digipoll,6,0.0052,0.0359,-0.0139,0.0073,0.0074,-0.006,-0.0103,-0.0078,-0.0135,0.002922222,0.048733333,-0.033511111,0.002188889,0.003622222,-0.003944444,0.000533333,-0.0033,-0.021
Colmar Brunton,2,0.0052,0.0269,-0.0239,0.0063,-0.0106,-0.005,0.0057,-0.0008,-0.0025,0.002922222,0.049233333,-0.032955556,0.002244444,0.004622222,-0.004,-0.000355556,-0.003688889,-0.021611111
Reid Research,2,-0.0148,0.0349,-0.0349,-0.0007,0.0234,-0.006,0.0007,0.0002,-0.0085,0.004033333,0.048788889,-0.032344444,0.002633333,0.002733333,-0.003944444,-7.78E-05,-0.003744444,-0.021277778
Roy Morgan,3,-0.0398,0.0219,-0.0009,0.0043,0.0344,-0.001,-0.0043,-0.0058,-0.0265,0.005422222,0.049511111,-0.034233333,0.002355556,0.002122222,-0.004222222,0.0002,-0.003411111,-0.020277778
