"","Party","2014 Percent","median","lowr","upr"
"1","ACT",0.0069,0.00350656681116238,0.00113110763788733,0.00921037467564074
"2","Conservative Party",0.0399,0.000845445484583973,9.921082942432e-05,0.00535992858773043
"3","Green Party",0.107,0.106236556174402,0.0908341915185906,0.120143834149699
"4","Labour Party",0.2513,0.287625230340445,0.253316713473576,0.321280949233013
"5","Mana",0.0142,0.00155328270103234,0.000256600573491856,0.00845159610707167
"6","Maori Party",0.0132,0.0100360805033006,0.00203527963069758,0.0166428204842389
"7","National Party",0.4704,0.442173535422986,0.399259639840291,0.482822865289891
"8","New Zealand First Party",0.0866,0.126947127502006,0.0761862073105884,0.201073859606073
"9","United Future",0.0022,0.00201978609825066,0.000350411729173892,0.00822157276947395
