"","Party","2014 Seats","median","lowr","upr"
"1","ACT",0,0,0,0
"2","Conservative Party",0,0,0,0
"3","Green Party",14,13,10,15
"4","Labour Party",5,13,8,17
"5","Mana",0,0,0,0
"6","Maori Party",1,0,0,0
"7","National Party",19,11,6,16
"8","New Zealand First Party",11,15,9,24
"9","United Future",0,0,0,0
