"","Electoral District","Year","Party","2014 Percent","median","lowr","upr"
"1","Auckland Central",2017,"ACT",0.0117,0.00398599466345773,0.000941515616607916,0.0115892078796203
"2","Auckland Central",2017,"Conservative Party",0.0173,5e-04,5e-04,0.00362518440828694
"3","Auckland Central",2017,"Green Party",0.2217,0.225123449447965,0.194998855585126,0.242345307783292
"4","Auckland Central",2017,"Labour Party",0.2167,0.269299400903505,0.228250987653324,0.315016240581908
"5","Auckland Central",2017,"Mana",0.0196,0.00223420846039083,5e-04,0.018329102796874
"6","Auckland Central",2017,"Maori Party",0.0056,0.00813573845011695,0.00359859586229501,0.0188894625186616
"7","Auckland Central",2017,"National Party",0.4493,0.406693928188385,0.345079147849017,0.459864608984518
"8","Auckland Central",2017,"New Zealand First Party",0.0518,0.0492429240082642,0.0238105895193674,0.123390798829337
"9","Auckland Central",2017,"United Future",0.0019,0.00651016067090381,0.00110008185980229,0.0330259334248098
"10","Bay of Plenty",2017,"ACT",0.0025,0.000851708261422592,5e-04,0.00247632647000434
"11","Bay of Plenty",2017,"Conservative Party",0.0566,0.00121358170126133,5e-04,0.0118604299138174
"12","Bay of Plenty",2017,"Green Party",0.0723,0.077079237092653,0.0629739481101672,0.101011893270751
"13","Bay of Plenty",2017,"Labour Party",0.1307,0.200973843562598,0.146079824651661,0.259634669295771
"14","Bay of Plenty",2017,"Mana",0.0051,0.000581350160611899,5e-04,0.00476930736041109
"15","Bay of Plenty",2017,"Maori Party",0.0057,0.00909313976093342,0.00366285650269314,0.023655661016239
"16","Bay of Plenty",2017,"National Party",0.5766,0.533993928188385,0.472379147849017,0.594511083195319
"17","Bay of Plenty",2017,"New Zealand First Party",0.1394,0.13251860244695,0.0640771463127378,0.217967272345631
"18","Bay of Plenty",2017,"United Future",0.0021,0.00822779791044018,0.0012158799503078,0.0429049731447676
"19","Botany",2017,"ACT",0.0241,0.00821046764011379,0.00193936122737186,0.0238717871708418
"20","Botany",2017,"Conservative Party",0.0453,0.000971294188465342,5e-04,0.00949253489568777
"21","Botany",2017,"Green Party",0.0435,0.0479459396838991,0.0378888899418018,0.0689979570752347
"22","Botany",2017,"Labour Party",0.2227,0.287135909331272,0.237769570254123,0.336191868127563
"23","Botany",2017,"Mana",0.0061,0.000695340388182859,5e-04,0.00570446566637405
"24","Botany",2017,"Maori Party",0.0021,0.00520650448560029,0.00134947344836063,0.0183234303742573
"25","Botany",2017,"National Party",0.5965,0.553893928188385,0.492279147849017,0.610894969325437
"26","Botany",2017,"New Zealand First Party",0.0544,0.0517145765646635,0.0250057156342392,0.135256709675993
"27","Botany",2017,"United Future",0.0015,0.00712603392033179,0.000868485678791283,0.0384141522796868
"28","Christchurch Central",2017,"ACT",0.0049,0.00166934819238828,5e-04,0.00485359988120851
"29","Christchurch Central",2017,"Conservative Party",0.0311,0.00066682669450932,5e-04,0.00651695000564878
"30","Christchurch Central",2017,"Green Party",0.1582,0.161843175164739,0.137793618133174,0.179972738515419
"31","Christchurch Central",2017,"Labour Party",0.2625,0.31751250047978,0.274821078436201,0.364308303774583
"32","Christchurch Central",2017,"Mana",0.0103,0.00117409934398089,5e-04,0.00963213055141847
"33","Christchurch Central",2017,"Maori Party",0.0046,0.00725966656071058,0.00295598945831376,0.0184710718181092
"34","Christchurch Central",2017,"National Party",0.4466,0.403993928188385,0.342379147849017,0.458371750435609
"35","Christchurch Central",2017,"New Zealand First Party",0.0719,0.0683506995404285,0.0330498337151065,0.143251561996375
"36","Christchurch Central",2017,"United Future",0.0023,0.0071240699419138,0.0013316780408133,0.0346803600302516
"37","Christchurch East",2017,"ACT",0.0033,0.00112425490507782,5e-04,0.00326875094040573
"38","Christchurch East",2017,"Conservative Party",0.0326,0.000698988753730027,5e-04,0.00683127235318811
"39","Christchurch East",2017,"Green Party",0.1266,0.130362904948435,0.110269734865106,0.14923950893665
"40","Christchurch East",2017,"Labour Party",0.3216,0.377588523528363,0.333838186161171,0.426028586321058
"41","Christchurch East",2017,"Mana",0.0088,0.00100311400262445,5e-04,0.00822939309247404
"42","Christchurch East",2017,"Maori Party",0.004,0.00671376764567101,0.00257042561592501,0.0183137629588102
"43","Christchurch East",2017,"National Party",0.3979,0.355293928188385,0.293679147849017,0.410278141026995
"44","Christchurch East",2017,"New Zealand First Party",0.0945,0.0898350640691306,0.0434382376366838,0.164574355151543
"45","Christchurch East",2017,"United Future",0.0023,0.00719384678589917,0.0013316780408133,0.0353080415999586
"46","Clutha-Southland",2017,"ACT",0.0036,0.00122645989644853,5e-04,0.00356591011680625
"47","Clutha-Southland",2017,"Conservative Party",0.0504,0.00108064518981574,5e-04,0.0105612308773215
"48","Clutha-Southland",2017,"Green Party",0.0773,0.0814288056977589,0.067328992931064,0.101300026061988
"49","Clutha-Southland",2017,"Labour Party",0.1471,0.207812872799662,0.161135092960733,0.255970520747083
"50","Clutha-Southland",2017,"Mana",0.0046,0.000524355046826418,5e-04,0.00430172820742961
"51","Clutha-Southland",2017,"Maori Party",0.0033,0.00624691061259127,0.00212060113313813,0.0185670923480848
"52","Clutha-Southland",2017,"National Party",0.6338,0.591193928188385,0.529579147849017,0.647014368096941
"53","Clutha-Southland",2017,"New Zealand First Party",0.0624,0.0593196613535847,0.0286830267569214,0.137743298690959
"54","Clutha-Southland",2017,"United Future",0.002,0.00729113959101496,0.00115798090505504,0.037096452270115
"55","Coromandel",2017,"ACT",0.0037,0.00126052822690544,5e-04,0.00366496317560642
"56","Coromandel",2017,"Conservative Party",0.0528,0.00113210448456888,5e-04,0.0110641466333844
"57","Coromandel",2017,"Green Party",0.0982,0.102863293513655,0.0855330802824124,0.125659434819792
"58","Coromandel",2017,"Labour Party",0.1571,0.225698908202373,0.172333915746255,0.281537278084853
"59","Coromandel",2017,"Mana",0.0068,0.000775133547482532,5e-04,0.00635907648054812
"60","Coromandel",2017,"Maori Party",0.0049,0.00822746672886574,0.00314877137950814,0.0221729789040008
"61","Coromandel",2017,"National Party",0.5417,0.499093928188385,0.437479147849017,0.5587215111796
"62","Coromandel",2017,"New Zealand First Party",0.125,0.118829449826892,0.0574579862919098,0.203140249038326
"63","Coromandel",2017,"United Future",0.0017,0.00767634024062311,0.000984283769296787,0.0413869064592506
"64","Dunedin North",2017,"ACT",0.0032,0.00109018657462092,5e-04,0.00316969788160556
"65","Dunedin North",2017,"Conservative Party",0.0273,0.000585349477816861,5e-04,0.00572066672521581
"66","Dunedin North",2017,"Green Party",0.2294,0.233046953758419,0.202698855585126,0.251251979027437
"67","Dunedin North",2017,"Labour Party",0.3182,0.37370378636087,0.330375479419333,0.421178063471852
"68","Dunedin North",2017,"Mana",0.0172,0.00196063191422052,5e-04,0.0160847228625629
"69","Dunedin North",2017,"Maori Party",0.0035,0.0061931249263436,0.00224912241393438,0.0174581305857207
"70","Dunedin North",2017,"National Party",0.3226,0.279993928188385,0.218379147849017,0.334355689062967
"71","Dunedin North",2017,"New Zealand First Party",0.0675,0.0641679029065219,0.0310273125976313,0.140654004248652
"72","Dunedin North",2017,"United Future",0.0025,0.00737722934468599,0.0014474761313188,0.0353113228795952
"73","Dunedin South",2017,"ACT",0.0033,0.00112425490507782,5e-04,0.00326875094040573
"74","Dunedin South",2017,"Conservative Party",0.0293,0.000628232223444471,5e-04,0.00613976318860158
"75","Dunedin South",2017,"Green Party",0.1229,0.126491591842918,0.107047001697642,0.144535552309297
"76","Dunedin South",2017,"Labour Party",0.3327,0.386067852899561,0.34425177986303,0.433165450790706
"77","Dunedin South",2017,"Mana",0.0082,0.000934719866081877,5e-04,0.00766829810889626
"78","Dunedin South",2017,"Maori Party",0.0025,0.00509317742750717,0.00160651600995313,0.0161552324345411
"79","Dunedin South",2017,"National Party",0.3987,0.356093928188385,0.294479147849017,0.410075669840192
"80","Dunedin South",2017,"New Zealand First Party",0.0911,0.0866029030338391,0.0418753804095439,0.159331192895054
"81","Dunedin South",2017,"United Future",0.0017,0.00637430475119852,0.000984283769296787,0.0334635788859674
