"","Candidate","Party","Year","Electorate","2014 Vote","median","lowr","upr","% Win"
"1","VAN VELDEN, Brooke","ACT",2017,"Auckland Central",0.007048823,0.00159172712250755,0.000318327501062708,0.00489506616319822,0
"2","ROCHE, Denise","Green Party",2017,"Auckland Central",0.0763,0.11864780375868,0.106689007367564,0.131740545105738,0
"3","WHITE, Helen","Labour Party",2017,"Auckland Central",0.436301441,0.34915843077065,0.322050290939222,0.377540556077629,2e-04
"4","KAYE, Nikki","National Party",2017,"Auckland Central",0.458380844,0.49154619711501,0.453210881602848,0.522227000616426,0.9998
"5","CARLEY, Bruce","ACT",2017,"Bay of Plenty",NA,0.00123356435579663,0.000584003606912363,0.00369858674703419,0
"6","WARREN-CLARK, Angie","Labour Party",2017,"Bay of Plenty",0.185374846,0.220810994295079,0.188477088878618,0.250109923065374,0
"7","MULLER, Todd","National Party",2017,"Bay of Plenty",0.606923392,0.548715418796965,0.515433903484753,0.578769082681724,0.9998
"8","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Bay of Plenty",0.069346838,0.121258238928707,0.0506589979863829,0.220802356236497,2e-04
"9","RICKARD, Ben","United Future",2017,"Bay of Plenty",0.003789431,0.00357924120701708,0.000404260132233644,0.0157350967049056,0
"10","ZHU, Julie","Green Party",2017,"Botany",NA,0.0411738660695081,0.032965857591645,0.0568562968011291,0
"11","MAMEDOV, Tofik","Labour Party",2017,"Botany",0.233632193,0.286213319715827,0.261064955402293,0.308878512024388,0
"12","ROSS, Jami-Lee","National Party",2017,"Botany",0.651271893,0.573259413562381,0.540464833140296,0.602648337552069,1
"13","LIGHT, Damian","United Future",2017,"Botany",0.004613492,0.00329309975638968,0.000331288209083091,0.0155107045835277,0
"14","GENERIC GREEN PARTY CANDIDATE","Green Party",2017,"Christchurch Central",0.084359797,0.107852515547562,0.0987250298467312,0.118060715709384,0
"15","WEB, Duncan","Labour Party",2017,"Christchurch Central",0.389297174,0.36274315161008,0.338102219469737,0.388239052476693,2e-04
"16","WAGNER, Nicky","National Party",2017,"Christchurch Central",0.462167477,0.491172977211205,0.45268796491245,0.522606403236574,0.9988
"17","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Christchurch Central",0.126792298,0.069273420745332,0.0289589715155655,0.164091771363799,0.001
"18","SEVERIN, Toni","ACT",2017,"Christchurch East",0.003622813,0.000398724758429345,8.69862868608141e-05,0.0015954826530413,0
"19","SWEET, Cathy","Green Party",2017,"Christchurch East",0.10132976,0.105937454412261,0.0970725952786012,0.114510649876283,0
"20","WILLIAMS, Poto","Labour Party",2017,"Christchurch East",0.48087826,0.426833076697689,0.401803110829627,0.453305428869581,0.9898
"21","HAYES, Jo","National Party",2017,"Christchurch East",0.352128647,0.367903472926592,0.335215855624559,0.395048159703739,0.0102
"22","GOLDSMITH, Rachael","Green Party",2017,"Clutha-Southland",0.071217223,0.0770763368652681,0.0693736111077469,0.0852846844958258,0
"23","CHAPMAN, Cherie","Labour Party",2017,"Clutha-Southland",0.198347107,0.230060259966773,0.202830621871254,0.254935484376602,0
